,date,year,month,day,time,yday,dow,region,regnames,tmean,tmin,tmax,dewp,rh,death
1,01/01/1993,1993,1,1,1,1,Fri,1,N-East,2.603747368,-0.388518214,5.640151024,0.891811669,84.8620224,125
2,02/01/1993,1993,1,2,2,2,Sat,1,N-East,0.119176626,-2.394036531,2.684885263,0.467246592,88.99355316,96
3,03/01/1993,1993,1,3,3,3,Sun,1,N-East,-2.912997961,-5.703855991,-0.063002281,-4.832753658,90.90112305,92
4,04/01/1993,1993,1,4,4,4,Mon,1,N-East,1.640505195,-3.856726646,7.224187851,1.067246556,86.27430725,80
5,05/01/1993,1993,1,5,5,5,Tue,1,N-East,4.306995869,-0.132330626,8.783604622,2.867246628,66.71463013,103
6,06/01/1993,1993,1,6,6,6,Wed,1,N-East,4.467664719,2.888875723,6.043286324,0.712282538,72.09130096,119
7,07/01/1993,1993,1,7,7,7,Thu,1,N-East,5.267659664,1.798840523,8.750967979,2.01228261,71.94973755,97
5114,01/01/1993,1993,1,1,1,1,Fri,2,N-West,2.754039526,0.070042372,5.438401222,-0.10435351,83.3188858,271
5115,02/01/1993,1993,1,2,2,2,Sat,2,N-West,0.220485106,-1.972075343,2.413515568,-0.559949219,93.75245667,268
5116,03/01/1993,1993,1,3,3,3,Sun,2,N-West,-1.746577501,-5.806553364,2.315330267,-4.553872108,82.62718201,274
5117,04/01/1993,1993,1,4,4,4,Mon,2,N-West,2.774133205,-1.115211487,6.665027618,1.72690773,91.96931458,278
5118,05/01/1993,1993,1,5,5,5,Tue,2,N-West,5.894761562,2.174164534,9.615573883,6.025066376,85.77070618,299
5119,06/01/1993,1993,1,6,6,6,Wed,2,N-West,4.930404186,3.516246796,6.344837666,5.170286655,97.95385742,301
5120,07/01/1993,1993,1,7,7,7,Thu,2,N-West,4.982971191,1.119047403,8.847128868,2.567206383,87.22666168,272
